work_id,الاسم,السنة,النوع,سبب_التعديل,tmdbId_القديم,tmdbId_الجديد,الصورة_النهائية,الحالة_النهائية
chou-kaguya-hime-2026,chou-kaguya-hime-2026,,,عمل مكرّر - حُذف ووُجّه (301) إلى: فيلم-chou-kaguya-hime-مترجم,,,,محذوف نهائياً
good-doctor,good-doctor,,,عمل مكرّر - حُذف ووُجّه (301) إلى: the-good-doctor,,,,محذوف نهائياً
hyakuemu-2025,hyakuemu-2025,,,عمل مكرّر - حُذف ووُجّه (301) إلى: فيلم-hyakuemu-مترجم,,,,محذوف نهائياً
nanatsu-no-taizai-movie-2-hikari-ni-norowareshi-mono-tachi-2021,nanatsu-no-taizai-movie-2-hikari-ni-norowareshi-mono-tachi-2021,,,عمل مكرّر - حُذف ووُجّه (301) إلى: فيلم-nanatsu-no-taizai-movie-2-hikari-ni-norowareshi-mono-tachi,,,,محذوف نهائياً
napoleon-2023-مترجم-اون-لاين,napoleon-2023-مترجم-اون-لاين,,,عمل مكرّر - حُذف ووُجّه (301) إلى: napoleon-2023-directors-cut-مترجم-اون-لاين,,,,محذوف نهائياً
paprika-1991,paprika-1991,,,عمل مكرّر - حُذف ووُجّه (301) إلى: فيلم-paprika-مترجم,,,,محذوف نهائياً
predator-killer-of-killers-2025,predator-killer-of-killers-2025,,,عمل مكرّر - حُذف ووُجّه (301) إلى: فيلم-predator-killer-of-killers-مترجم,,,,محذوف نهائياً
rebel-moon-part-one-director-s-cut-2024,rebel-moon-part-one-director-s-cut-2024,,,عمل مكرّر - حُذف ووُجّه (301) إلى: rebel-moon-part-one-directors-cut-2023-مترجم-اون-لاين,,,,محذوف نهائياً
rebel-moon-part-two-director-s-cut-2024,rebel-moon-part-two-director-s-cut-2024,,,عمل مكرّر - حُذف ووُجّه (301) إلى: rebel-moon-part-two-directors-cut-2024-مترجم-اون-لاين,,,,محذوف نهائياً
spy-x-family-code-white-2023,spy-x-family-code-white-2023,,,عمل مكرّر - حُذف ووُجّه (301) إلى: فيلم-spy-x-family-movie-code-white-مترجم,,,,محذوف نهائياً
the-first-slam-dunk-2022,the-first-slam-dunk-2022,,,عمل مكرّر - حُذف ووُجّه (301) إلى: فيلم-the-first-slam-dunk-مترجم,,,,محذوف نهائياً
the-hot-spot,the-hot-spot,,,عمل مكرّر - حُذف ووُجّه (301) إلى: البؤرة-الساخنة-hot-spot,,,,محذوف نهائياً
the-other-2025-مترجم-اون-لاين,the-other-2025-مترجم-اون-لاين,,,عمل مكرّر - حُذف ووُجّه (301) إلى: other-2025-مترجم-اون-لاين,,,,محذوف نهائياً
the-witcher-sirens-of-the-deep-2025,the-witcher-sirens-of-the-deep-2025,,,عمل مكرّر - حُذف ووُجّه (301) إلى: فيلم-the-witcher-sirens-of-the-deep-مترجم,,,,محذوف نهائياً
weapon-2024,weapon-2024,,,عمل مكرّر - حُذف ووُجّه (301) إلى: the-weapon-2023,,,,محذوف نهائياً
فيلم-haikyuu-movie-gomisuteba-no-kessen-مترجم,فيلم-haikyuu-movie-gomisuteba-no-kessen-مترجم,,,عمل مكرّر - حُذف ووُجّه (301) إلى: haikyuu-movie-gomisuteba-no-kessen-2024-مترجم-اون-لاين,,,,محذوف نهائياً
فيلم-shelter-مترجم,فيلم-shelter-مترجم,,,عمل مكرّر - حُذف ووُجّه (301) إلى: shelter-2026-مترجم-اون-لاين,,,,محذوف نهائياً
arte,Arte,2020,anime,مطابقة خاطئة (تشابه أسماء) - أُلغي الإثراء,211991,,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/arte.jpg,صورة من CSV
bad-girl,Bad Girl,2022,anime,مطابقة خاطئة (تشابه أسماء) - أُلغي الإثراء,209730,,https://image.tmdb.org/t/p/w500/aSr88pA0EsnZbDtXdSmnC25eRHl.jpg,صورة من TMDB
bakuten,Bakuten!!,2001,anime,مطابقة خاطئة (تشابه أسماء) - أُلغي الإثراء,54728,,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/bakuten.jpg,صورة من CSV
boku-no-hero-academia-ona,Boku no Hero Academia,,anime,tmdbId متشارك - أُعيدت المطابقة للنتيجة الصحيحة,280110,65930,https://image.tmdb.org/t/p/w500/a3GlsRvZx7i1a77IVMxuvR7TZj0.jpg,صورة من TMDB
الحلقة-الخاصة-boruto-naruto-the-movie-naruto-ga-hokage-ni-natta-hi,Boruto: Naruto the Movie - Naruto ga Hokage ni Natta Hi,,anime,مطابقة خاطئة (تشابه أسماء) - أُلغي الإثراء,1017204,,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/الحلقة-الخاصة-boruto-naruto-the-movie-naruto-ga-hokage-ni-natta-hi.jpg,صورة من CSV
charlotte,Charlotte,2015,anime,مطابقة خاطئة (تشابه أسماء) - أُلغي الإثراء,319508,,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/charlotte.jpg,صورة من CSV
chuuzenji-sensei-mononoke-kougiroku,Chuuzenji-sensei Mononoke Kougiroku,2025,anime,tmdbId متشارك - أُلغي الإثراء (لا نتيجة موثوقة),275623,,,بلا صورة (placeholder)
dandelion,Dandelion,,anime,مطابقة خاطئة (تشابه أسماء) - أُلغي الإثراء,29345,,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/dandelion.jpg,صورة من CSV
اوفا-dungeon-ni-deai-wo-motomeru-no-wa-machigatteiru-darou-ka-ii-ova,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II OVA,,anime,tmdbId متشارك - أُعيدت المطابقة للنتيجة الصحيحة,70590,62745,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/اوفا-dungeon-ni-deai-wo-motomeru-no-wa-machigatteiru-darou-ka-ii-ova.jpg,صورة من CSV
اوفا-dungeon-ni-deai-wo-motomeru-no-wa-machigatteiru-darou-ka-iii-ova,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III OVA,,anime,tmdbId متشارك - أُعيدت المطابقة للنتيجة الصحيحة,70590,62745,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/اوفا-dungeon-ni-deai-wo-motomeru-no-wa-machigatteiru-darou-ka-iii-ova.jpg,صورة من CSV
اوفا-dungeon-ni-deai-wo-motomeru-no-wa-machigatteiru-darou-ka-ova,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA,,anime,tmdbId متشارك - أُعيدت المطابقة للنتيجة الصحيحة,70590,62745,https://image.tmdb.org/t/p/w500/afGt9Agsm7YakvBm7oCazebprLr.jpg,صورة من TMDB
