id,name,type,poster_source,final_status,image_url
16bit-sensation-another-layer,16bit Sensation: Another Layer,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx159559-4JzfnLGIelRC.jpg
4-nin-wa-sorezore-uso-wo-tsuku,4-nin wa Sorezore Uso wo Tsuku,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx146962-mBcqIslFD83F.png
a3-season-autumn-winter,A3! Season Autumn & Winter,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx111145-bYNGacLaqHQq.jpg
ai-no-idenshi,AI no Idenshi,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx158530-CT38yZ23cabT.png
akiba-maid-sensou,Akiba Maid Sensou,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx151379-JxxgTgSViXZL.png
akuyaku-reijou-nanode-last-boss-wo-kattemimashita,Akuyaku Reijou nanode Last Boss wo Kattemimashita,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx139820-T8Nk5dRd3q9L.jpg
ao-no-orchestra,Ao no Orchestra,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx147369-Aodog1O7Nhuq.png
ars-no-kyojuu,Ars no Kyojuu,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx155089-I5zYFNvWua57.png
ayaka,Ayaka,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx155982-IZNOPZyon0QI.jpg
b-the-beginning,B: The Beginning,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/nx21665-QnenQOaxzhpf.jpg
baki,Baki,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx97888-tdZ1r7qN1DRs.jpg
ballroom-e-youkoso,Ballroom e Youkoso,anime,user,ok,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/ballroom-e-youkoso.jpg
bang-dream-it-s-mygo,BanG Dream! It's MyGO!!!!!,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx163571-Atkvuzh1A1Ip.png
