id,name,type,year,source,image_url,match_status
16bit-sensation-another-layer,16bit Sensation: Another Layer,anime,,witanime,,not_found_on_site
4-nin-wa-sorezore-uso-wo-tsuku,4-nin wa Sorezore Uso wo Tsuku,anime,,witanime,,not_found_on_site
a3-season-autumn-winter,A3! Season Autumn & Winter,anime,,witanime,,not_found_on_site
ai-no-idenshi,AI no Idenshi,anime,,witanime,,not_found_on_site
akiba-maid-sensou,Akiba Maid Sensou,anime,,witanime,,not_found_on_site
akuyaku-reijou-nanode-last-boss-wo-kattemimashita,Akuyaku Reijou nanode Last Boss wo Kattemimashita,anime,,witanime,,not_found_on_site
ao-no-orchestra,Ao no Orchestra,anime,,witanime,,not_found_on_site
ars-no-kyojuu,Ars no Kyojuu,anime,,witanime,,not_found_on_site
ayaka,Ayaka,anime,,witanime,,not_found_on_site
b-the-beginning,B: The Beginning,anime,,witanime,,not_found_on_site
baki,Baki,anime,,witanime,,not_found_on_site
ballroom-e-youkoso,Ballroom e Youkoso,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/ballroom-e-youkoso.jpg,matched_slug
bang-dream-it-s-mygo,BanG Dream! It's MyGO!!!!!,anime,,witanime,,not_found_on_site
benriya-saitou-san-isekai-ni-iku,"Benriya Saitou-san, Isekai ni Iku",anime,,witanime,,not_found_on_site
berserk-ougon-jidai-hen-memorial-edition,Berserk: Ougon Jidai-hen - Memorial Edition,anime,,witanime,,not_found_on_site
berserk-ougon-jidai-hen-i-haou-no-tamago,Berserk: Ougon Jidai-hen I - Haou no Tamago,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/فيلم-berserk-ougon-jidai-hen-i-haou-no-tamago-مترجم.jpg,matched_name
berserk-ougon-jidai-hen-ii-doldrey-kouryaku,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/فيلم-berserk-ougon-jidai-hen-ii-doldrey-kouryaku-مترجم.jpg,matched_name
