id,name,type,year
16bit-sensation-another-layer,"16bit Sensation: Another Layer",anime,
4-nin-wa-sorezore-uso-wo-tsuku,"4-nin wa Sorezore Uso wo Tsuku",anime,
a3-season-autumn-winter,"A3! Season Autumn & Winter",anime,
digimon-adventure,"Digimon Adventure",anime,
ai-no-idenshi,"AI no Idenshi",anime,
akiba-maid-sensou,"Akiba Maid Sensou",anime,
akuyaku-reijou-nanode-last-boss-wo-kattemimashita,"Akuyaku Reijou nanode Last Boss wo Kattemimashita",anime,
ao-no-orchestra,"Ao no Orchestra",anime,
ars-no-kyojuu,"Ars no Kyojuu",anime,
ayaka,"Ayaka",anime,
b-the-beginning,"B: The Beginning",anime,
baki,"Baki",anime,
bang-dream-it-s-mygo,"BanG Dream! It's MyGO!!!!!",anime,
ballroom-e-youkoso,"Ballroom e Youkoso",anime,
berserk-ougon-jidai-hen-i-haou-no-tamago,"Berserk: Ougon Jidai-hen I - Haou no Tamago",anime,
berserk-ougon-jidai-hen-ii-doldrey-kouryaku,"Berserk: Ougon Jidai-hen II - Doldrey Kouryaku",anime,
benriya-saitou-san-isekai-ni-iku,"Benriya Saitou-san, Isekai ni Iku",anime,
berserk-ougon-jidai-hen-iii-kourin,"Berserk: Ougon Jidai-hen III - Kourin",anime,
berserk-ougon-jidai-hen-memorial-edition,"Berserk: Ougon Jidai-hen - Memorial Edition",anime,
birdie-wing-golf-girls-story-season-2,"Birdie Wing: Golf Girls' Story Season 2",anime,
birdie-wing-golf-girls-story,"Birdie Wing: Golf Girls' Story",anime,
black-lagoon-roberta-s-blood-trail,"Black Lagoon: Roberta's Blood Trail",anime,
blade-soul,"Blade & Soul",anime,
bleach-sennen-kessen-hen,"Bleach: Sennen Kessen-hen",anime,
bocchi-the-rock,"Bocchi the Rock!",anime,
boku-no-hero-academia-2nd-season-hero-note,"Boku no Hero Academia 2nd Season: Hero Note",anime,
boku-no-hero-academia-the-movie-3-world-heroes-mission,"Boku no Hero Academia the Movie 3: World Heroes' Mission",anime,
boku-no-hero-academia-ikinokore-kesshi-no-survival-kunren,"Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren",anime,
boku-no-hero-academia-sukue-kyuujo-kunren,"Boku no Hero Academia: Sukue! Kyuujo Kunren!",anime,
boku-no-hero-academia-training-of-the-dead,"Boku no Hero Academia: Training of the Dead",anime,
bokura-no-ameiro-protocol,"Bokura no Ameiro Protocol",anime,
