id,name,type,year,source,image_url
16bit-sensation-another-layer,16bit Sensation: Another Layer,anime,,witanime,
4-nin-wa-sorezore-uso-wo-tsuku,4-nin wa Sorezore Uso wo Tsuku,anime,,witanime,
a3-season-autumn-winter,A3! Season Autumn & Winter,anime,,witanime,
ai-no-idenshi,AI no Idenshi,anime,,witanime,
akiba-maid-sensou,Akiba Maid Sensou,anime,,witanime,
akuyaku-reijou-nanode-last-boss-wo-kattemimashita,Akuyaku Reijou nanode Last Boss wo Kattemimashita,anime,,witanime,
ao-no-orchestra,Ao no Orchestra,anime,,witanime,
ars-no-kyojuu,Ars no Kyojuu,anime,,witanime,
ayaka,Ayaka,anime,,witanime,
b-the-beginning,B: The Beginning,anime,,witanime,
baki,Baki,anime,,witanime,
ballroom-e-youkoso,Ballroom e Youkoso,anime,,witanime,
bang-dream-it-s-mygo,BanG Dream! It's MyGO!!!!!,anime,,witanime,
benriya-saitou-san-isekai-ni-iku,"Benriya Saitou-san, Isekai ni Iku",anime,,witanime,
berserk-ougon-jidai-hen-memorial-edition,Berserk: Ougon Jidai-hen - Memorial Edition,anime,,witanime,
berserk-ougon-jidai-hen-i-haou-no-tamago,Berserk: Ougon Jidai-hen I - Haou no Tamago,anime,,witanime,
berserk-ougon-jidai-hen-ii-doldrey-kouryaku,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,anime,,witanime,
berserk-ougon-jidai-hen-iii-kourin,Berserk: Ougon Jidai-hen III - Kourin,anime,,witanime,
birdie-wing-golf-girls-story,Birdie Wing: Golf Girls' Story,anime,,witanime,
birdie-wing-golf-girls-story-season-2,Birdie Wing: Golf Girls' Story Season 2,anime,,witanime,
black-clover,Black Clover,anime,,witanime,
black-lagoon-roberta-s-blood-trail,Black Lagoon: Roberta's Blood Trail,anime,,witanime,
blade-soul,Blade & Soul,anime,,witanime,
bleach,Bleach,anime,,witanime,
bleach-sennen-kessen-hen,Bleach: Sennen Kessen-hen,anime,,witanime,
bocchi-the-rock,Bocchi the Rock!,anime,,witanime,
boku-no-hero-academia-2nd-season-hero-note,Boku no Hero Academia 2nd Season: Hero Note,anime,,witanime,
boku-no-hero-academia-the-movie-3-world-heroes-mission,Boku no Hero Academia the Movie 3: World Heroes' Mission,anime,,witanime,
boku-no-hero-academia-ikinokore-kesshi-no-survival-kunren,Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren,anime,,witanime,
boku-no-hero-academia-sukue-kyuujo-kunren,Boku no Hero Academia: Sukue! Kyuujo Kunren!,anime,,witanime,
boku-no-hero-academia-training-of-the-dead,Boku no Hero Academia: Training of the Dead,anime,,witanime,
bokura-no-ameiro-protocol,Bokura no Ameiro Protocol,anime,,witanime,
boruto-naruto-next-generations,Boruto: Naruto Next Generations,anime,,witanime,
boukensha-ni-naritai-to-miyako-ni-deteitta-musume-ga-s-rank-ni-natteta,Boukensha ni Naritai to Miyako ni Deteitta Musume ga S-Rank ni Natteta,anime,,witanime,
boushoku-no-berserk,Boushoku no Berserk,anime,,witanime,
buddy-daddies,Buddy Daddies,anime,,witanime,
bullbuster,Bullbuster,anime,,witanime,
buta-no-liver-wa-kanetsu-shiro,Buta no Liver wa Kanetsu Shiro,anime,,witanime,
cardfight-vanguard-will-dress,Cardfight!! Vanguard: will+Dress,anime,,witanime,
code-geass-boukoku-no-akito-5-itoshiki-mono-tachi-e,Code Geass: Boukoku no Akito 5 - Itoshiki Mono-tachi e,anime,,witanime,
code-geass-hangyaku-no-lelouch-r2,Code Geass: Hangyaku no Lelouch R2,anime,,witanime,
cool-doji-danshi,Cool Doji Danshi,anime,,witanime,
cyberpunk-edgerunners,Cyberpunk: Edgerunners,anime,,witanime,
dark-gathering,Dark gathering,anime,,witanime,
darwin-s-game,Darwin's Game,anime,,witanime,
deep-insanity-the-lost-child,Deep Insanity: The Lost Child,anime,,witanime,
dekiru-neko-wa-kyou-mo-yuuutsu,Dekiru Neko wa Kyou mo Yuuutsu,anime,,witanime,
dekoboko-majo-no-oyako-jijou,Dekoboko Majo no Oyako Jijou,anime,,witanime,
demi-chan-wa-kataritai,Demi-chan wa Kataritai,anime,,witanime,
dies-irae-to-the-ring-reincarnation,Dies Irae: To the Ring Reincarnation,anime,,witanime,
digimon-adventure,Digimon Adventure,anime,,witanime,
digimon-ghost-game,Digimon Ghost Game,anime,,witanime,
do-it-yourself,Do It Yourself!!,anime,,witanime,
dogeza-de-tanondemita,Dogeza de Tanondemita,anime,,witanime,
dokyuu-hentai-hxeros,Dokyuu Hentai HxEros,anime,,witanime,
dokyuu-hentai-hxeros-ova,Dokyuu Hentai HxEros OVA,anime,,witanime,
dota-dragon-s-blood,DOTA: Dragon’s Blood,anime,,witanime,
dragon-ball-z,Dragon Ball Z,anime,,witanime,
dragon-quest-dai-no-daibouken-2020-2,Dragon Quest: Dai no Daibouken (2020),anime,,witanime,
dragon-quest-dai-no-daibouken-2020-recap,Dragon Quest: Dai no Daibouken (2020) Recap,anime,,witanime,
dragon-ie-wo-kau,"Dragon, Ie wo Kau",anime,,witanime,
dragon-s-dogma,Dragon's Dogma,anime,,witanime,
edomae-elf,Edomae Elf,anime,,witanime,
eiyuu-kyoushitsu,Eiyuu Kyoushitsu,anime,,witanime,
fairy-tail-2014-2,Fairy Tail (2014),anime,,witanime,
fairy-tail-movie-1-houou-no-miko-hajimari-no-asa,Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa,anime,,witanime,
fairy-tail-ova-2016,Fairy Tail OVA (2016),anime,,witanime,
fairy-tail-x-rave,Fairy Tail x Rave,anime,,witanime,
fate-grand-order-shinsei-entaku-ryouiki-camelot-1-wandering-agateram,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 1 - Wandering; Agateram,anime,,witanime,
fate-grand-order-shinsei-entaku-ryouiki-camelot-2-paladin-agateram,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram,anime,,witanime,
fate-grand-order-shuukyoku-tokuiten-kani-jikan-shinden-solomon,Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,anime,,witanime,
fate-stay-night-movie-heaven-s-feel-i-presage-flower,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,anime,,witanime,
fate-stay-night-movie-heaven-s-feel-ii-lost-butterfly,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,anime,,witanime,
fate-stay-night-movie-heaven-s-feel-iii-spring-song,Fate/stay night Movie: Heaven's Feel - III. Spring Song,anime,,witanime,
futsal-boys,Futsal Boys!!!!!,anime,,witanime,
fuufu-ijou-koibito-miman,"Fuufu Ijou, Koibito Miman",anime,,witanime,
fuuka,Fuuka,anime,,witanime,
gangsta,Gangsta,anime,,witanime,
genjitsu-no-yohane-sunshine-in-the-mirror,Genjitsu no Yohane: Sunshine in the Mirror,anime,,witanime,
gibiate,Gibiate,anime,,witanime,
gintama-enchousen,Gintama': Enchousen,anime,,witanime,
gintama-futon-ni-haitte-kara-buki-nokoshi-ni-kizuite-neru-ni-nerenai-toki-mo-aru,Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,anime,,witanime,
goblin-slayer,Goblin Slayer,anime,,witanime,
goblin-slayer-goblin-s-crown,Goblin Slayer: Goblin's Crown,anime,,witanime,
good-night-world,Good Night World,anime,,witanime,
gotoubun-no-hanayome-2024-2,Gotoubun no Hanayome 2024,anime,,witanime,
gyakuten-sekai-no-denchi-shoujo,Gyakuten Sekai no Denchi Shoujo,anime,,witanime,
hajime-no-ippo,Hajime no Ippo,anime,,witanime,
hajimete-no-gal,Hajimete no Gal,anime,,witanime,
hajimete-no-gal-hajimete-no-bunkasai,Hajimete no Gal: Hajimete no Bunkasai,anime,,witanime,
hakuouki-ova-2021-2,Hakuouki OVA (2021),anime,,witanime,
hametsu-no-oukoku,Hametsu no Oukoku,anime,,witanime,
helck,Helck,anime,,witanime,
higurashi-no-naku-koro-ni-2020-2,Higurashi no Naku Koro ni (2020),anime,,witanime,
hirogaru-sky-precure,Hirogaru Sky! Precure,anime,,witanime,
horimiya-piece,Horimiya: Piece,anime,,witanime,
hoshi-no-samidare,Hoshi no Samidare,anime,,witanime,
human-bug-daigaku,Human Bug Daigaku,anime,,witanime,
hunter-x-hunter-2011,Hunter x Hunter (2011),anime,,witanime,
hyouken-no-majutsushi-ga-sekai-wo-suberu,Hyouken no Majutsushi ga Sekai wo Suberu,anime,,witanime,
hypnosis-mic-division-rap-battle-rhyme-anima,Hypnosis Mic: Division Rap Battle - Rhyme Anima,anime,,witanime,
ijiranaide-nagatoro-san,"Ijiranaide, Nagatoro-san",anime,,witanime,
isekai-nonbiri-nouka,Isekai Nonbiri Nouka,anime,,witanime,
isekai-ojisan,Isekai Ojisan,anime,,witanime,
isekai-one-turn-kill-neesan-ane-douhan-no-isekai-seikatsu-hajimemashita,Isekai One Turn Kill Neesan: Ane Douhan no Isekai Seikatsu Hajimemashita,anime,,witanime,
isekai-shoukan-wa-nidome-desu,Isekai Shoukan wa Nidome desu,anime,,witanime,
isekai-wa-smartphone-to-tomo-ni,Isekai wa Smartphone to Tomo ni,anime,,witanime,
itai-no-wa-iya-nano-de-bougyoryoku-ni-kyokufuri-shitai-to-omoimasu,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu,anime,,witanime,
itou-junji-maniac,Itou Junji: Maniac,anime,,witanime,
jaku-chara-tomozaki-kun-specials,Jaku-Chara Tomozaki-kun Specials,anime,,witanime,
jigoku-sensei-nube-2025-2,Jigoku Sensei Nube (2025),anime,,witanime,
jitsu-wa-ore-saikyou-deshita,"Jitsu wa Ore, Saikyou deshita?",anime,,witanime,
journey-taiko-arabia-hantou-de-no-kiseki-to-tatakai-no-monogatari-ومدبلج,Journey: Taiko Arabia Hantou de no Kiseki to Tatakai no Monogatari ومدبلج,anime,,witanime,
k-project,K-Project,anime,,witanime,
k-return-of-kings,K: Return of Kings,anime,,witanime,
k-seven-stories-movie-1-r-b-blaze,K: Seven Stories Movie 1 - R:B - Blaze,anime,,witanime,
k-seven-stories-movie-2-side-blue-tenrou-no-gotoku,K: Seven Stories Movie 2 - Side:Blue - Tenrou no Gotoku,anime,,witanime,
k-seven-stories-movie-3-side-green-uwagaki-sekai,K: Seven Stories Movie 3 - Side:Green - Uwagaki Sekai,anime,,witanime,
kaifuku-jutsushi-no-yarinaoshi,Kaifuku Jutsushi no Yarinaoshi,anime,,witanime,
kakegurui-twin,Kakegurui Twin,anime,,witanime,
kaminaki-sekai-no-kamisama-katsudou,Kaminaki Sekai no Kamisama Katsudou,anime,,witanime,
kanata-no-astra,Kanata no Astra,anime,,witanime,
kanojo-ga-koushaku-tei-ni-itta-riyuu,Kanojo ga Koushaku-tei ni Itta Riyuu,anime,,witanime,
kawagoe-boys-sing,Kawagoe Boys Sing,anime,,witanime,
kawaisugi-crisis,Kawaisugi Crisis,anime,,witanime,
keikenzumi-na-kimi-to-keiken-zero-na-ore-ga-otsukiai-suru-hanashi,"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi",anime,,witanime,
kekkai-sensen-beyond,Kekkai Sensen & Beyond,anime,,witanime,
kenpuu-denki-berserk-berserk-1997-2,Kenpuu Denki Berserk (Berserk 1997),anime,,witanime,
kibou-no-chikara-otona-precure-23,Kibou no Chikara: Otona Precure '23,anime,,witanime,
kikansha-no-mahou-wa-tokubetsu-desu,Kikansha no Mahou wa Tokubetsu desu,anime,,witanime,
king-s-raid-ishi-wo-tsugumono-tachi,King's Raid: Ishi wo Tsugumono-tachi,anime,,witanime,
kizumonogatari-i-tekketsu-hen,Kizumonogatari I: Tekketsu-hen,anime,,witanime,
kizumonogatari-ii-nekketsu-hen,Kizumonogatari II: Nekketsu-hen,anime,,witanime,
kizumonogatari-iii-reiketsu-hen,Kizumonogatari III: Reiketsu-hen,anime,,witanime,
kono-subarashii-sekai-ni-bakuen-wo,Kono Subarashii Sekai ni Bakuen wo!,anime,,witanime,
kono-subarashii-sekai-ni-shukufuku-wo-2,Kono Subarashii Sekai ni Shukufuku wo! 2,anime,,witanime,
kono-subarashii-sekai-ni-shukufuku-wo-2-kono-subarashii-geijutsu-ni-shukufuku-wo,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,anime,,witanime,
kono-subarashii-sekai-ni-shukufuku-wo-kono-subarashii-choker-ni-shukufuku-wo,Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,anime,,witanime,
konyaku-haki-sareta-reijou-wo-hirotta-ore-ga-ikenai-koto-wo-oshiekomu,"Konyaku Haki sareta Reijou wo Hirotta Ore ga, Ikenai Koto wo Oshiekomu",anime,,witanime,
koori-zokusei-danshi-to-cool-na-douryou-joshi,Koori Zokusei Danshi to Cool na Douryou Joshi,anime,,witanime,
koukyuu-no-karasu,Koukyuu no Karasu,anime,,witanime,
