name,rawName,type_or_year,servers
"The Devil 2025","فيلم The Devil 2025 مترجم","2025","12"
"The Dink 2026","فيلم The Dink 2026 مترجم","2026","12"
"خلي بالك من نفسك 2026","فيلم خلي بالك من نفسك 2026 كامل","2026","11"
"The Departed 2006","فيلم The Departed 2006 مترجم","2006","5"
"The Lord of the Rings The Two Towers 2002","فيلم The Lord of the Rings The Two Towers 2002 مترجم","2002","5"
"التجربة المكسيكية 2024","فيلم التجربة المكسيكية 2024 كامل","2024","6"
"Moana 2026","فيلم Moana 2026 مترجم","2026","10"
"The Lord of the Rings The Return of the King 2003","فيلم The Lord of the Rings The Return of the King 2003 مترجم","2003","6"
"The Lord of the Rings The Fellowship of the Ring 2001","فيلم The Lord of the Rings The Fellowship of the Ring 2001 مترجم","2001","6"
"سيكو سيكو 2025","فيلم سيكو سيكو 2025 كامل","2025","7"
"The Truthers 2026","فيلم The Truthers 2026 مترجم","2026","10"
"A Toxic Love Story 2026","فيلم A Toxic Love Story 2026 مترجم","2026","10"
"The Debt Collector 2026","فيلم The Debt Collector 2026 مترجم","2026","11"
"The Caretaker 2025","فيلم The Caretaker 2025 مترجم","2025","11"
"The Memory Keeper 2025","فيلم The Memory Keeper 2025 مترجم","2025","11"
"Star Wars The Rise of Skywalker 2019","فيلم Star Wars The Rise of Skywalker 2019 مترجم","2019","8"
"The Dark Knight 2008","فيلم The Dark Knight 2008 مترجم","2008","11"
"سندس في عالم قندس 2026 مدبلج","فيلم سندس في عالم قندس 2026 مدبلج","2026","9"
"The Shawshank Redemption 1994","فيلم The Shawshank Redemption 1994 مترجم","1994","11"
"الهنا اللي انا فيه 2024","فيلم الهنا اللي انا فيه 2024 كامل","2024","7"
"Sukkwan Island 2025","فيلم Sukkwan Island 2025 مترجم","2025","11"
"Night of Blood 2026","فيلم Night of Blood 2026 مترجم","2026","12"
"The Fence 2025","فيلم The Fence 2025 مترجم","2025","12"
"Crybaby Bridge 2026","فيلم Crybaby Bridge 2026 مترجم","2026","12"
"Crimson Cove 2026","فيلم Crimson Cove 2026 مترجم","2026","12"
"Elize: Shadows of a Woman 2026","فيلم Elize: Shadows of a Woman 2026 مترجم","2026","12"
"العرافة واللعنة 2025","فيلم العرافة واللعنة 2025 كامل","2025","10"
