work_id,الاسم,السنة,النوع,tmdbId_القديم,tmdbId_الجديد,درجة_التطابق,الإجراء
boku-no-hero-academia-ona,Boku no Hero Academia,,anime,280110,65930,0.87,re-matched
chuuzenji-sensei-mononoke-kougiroku,Chuuzenji-sensei Mononoke Kougiroku,2025,anime,275623,,0.45,cleared
اوفا-dungeon-ni-deai-wo-motomeru-no-wa-machigatteiru-darou-ka-ii-ova,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II OVA,,anime,70590,62745,0.86,re-matched
اوفا-dungeon-ni-deai-wo-motomeru-no-wa-machigatteiru-darou-ka-iii-ova,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III OVA,,anime,70590,62745,0.86,re-matched
اوفا-dungeon-ni-deai-wo-motomeru-no-wa-machigatteiru-darou-ka-ova,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA,,anime,70590,62745,0.86,re-matched
dungeon-ni-deai-wo-motomeru-no-wa-machigatteiru-darou-ka-v-houjou-no-megami-hen,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka V: Houjou no Megami-hen,,anime,70590,62745,0.61,re-matched
فيلم-fate-grand-order-shinsei-entaku-ryouiki-camelot-2-paladin-agateram,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram,,movie,637202,637462,0.85,re-matched
k-project,K-Project,2012,anime,45799,63972,0.55,re-matched
kabushikigaisha-magi-lumiere,Kabushikigaisha Magi Lumiere,2024,anime,240576,,0.45,cleared
فيلم-karakai-jouzu-no-takagi-san-movie,Karakai Jouzu no Takagi-san Movie,,movie,1210989,938567,0.85,re-matched
let-go-2024,Let Go,2024,movie,814889,1214484,1.0,re-matched
methgator-2023,Methgator,2024,movie,1091298,,0.0,cleared
mikata-ga-yowasugite-hojo-mahou,Mikata ga Yowasugite Hojo Mahou,2025,anime,286984,,0.38,cleared
فيلم-one-piece-movie-1-مترجم,One Piece Movie 1,,movie,374205,19576,0.64,re-matched
rabies-2023-مترجم-اون-لاين,Rabies,2023,movie,650036,1071312,0.9,re-matched
فيلم-re-zero-kara-hajimeru-isekai-seikatsu-hyouketsu-no-kizuna-مترجم,Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna,,movie,532321,566451,0.85,re-matched
saikyou-no-shokugyou,Saikyou no Shokugyou,2026,anime,303460,,0.24,cleared
shuumatsu-no-walkure-iii,Shuumatsu no Walkure III,2021,anime,114868,,0.46,cleared
youkoso-jitsuryoku-shijou-shugi-no-kyoushitsu-e-4th-season-2-nensei-hen-1-gakki,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 4th Season: 2-nensei-hen 1 Gakki,,anime,72517,,0.49,cleared
yuusha-party-o-tsuiho-sareta-shiro-madoshi,Yuusha Party o Tsuiho Sareta Shiro Madoshi,2025,anime,284771,,0.39,cleared
