work_id,النوع,الاسم_الإنجليزي,الاسم_العربي,السنة,tmdbId,poster_url,tmdbPoster_url,backdrop_url
gamers,أنمي,!Gamers,!Gamers,2017,72426,https://image.tmdb.org/t/p/w500/2VjS9XA68JUPBUFsX9NTuXBqR9e.jpg,https://image.tmdb.org/t/p/w500/2VjS9XA68JUPBUFsX9NTuXBqR9e.jpg,https://image.tmdb.org/t/p/w1280/9ONsuIkAZnOmjwq2FHe3EsDJuaB.jpg
1-happy-family-usa,أنمي,#1 Happy Family USA,أسعد عائلة في أمريكا,2025,218510,https://image.tmdb.org/t/p/w500/vEPEllyKNm9WWkFO4m9YcxXnXT2.jpg,https://image.tmdb.org/t/p/w500/vEPEllyKNm9WWkFO4m9YcxXnXT2.jpg,https://image.tmdb.org/t/p/w1280/dc8YYZ5mAwq3n4AafVvV343MKN4.jpg
0-saiji-start-dash-monogatari,أنمي,0-saiji Start Dash Monogatari,0-saiji Start Dash Monogatari,2024,256164,https://image.tmdb.org/t/p/w500/9dU7otLDcUcD9cLJWCd1pPP7Nm2.jpg,https://image.tmdb.org/t/p/w500/9dU7otLDcUcD9cLJWCd1pPP7Nm2.jpg,https://image.tmdb.org/t/p/w1280/cGDCRoWZIswmqzMXZRI4TwZXVGu.jpg
100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-2nd-season,أنمي,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,أنا أقف على مليون حياة,2020,99995,https://image.tmdb.org/t/p/w500/fbBY1UEW7Vx2alMrjg6xNNM3Pv9.jpg,https://image.tmdb.org/t/p/w500/fbBY1UEW7Vx2alMrjg6xNNM3Pv9.jpg,https://image.tmdb.org/t/p/w1280/esBYtd4HLuEd5E1vlbTdBdgcdfe.jpg
2-43-seiin-koukou-danshi-volley-bu,أنمي,2.43: Seiin Koukou Danshi Volley-bu,2.43: Seiin Koukou Danshi Volley-bu,2021,105004,https://image.tmdb.org/t/p/w500/5YPnuuDYqRTkdmeNUzb52ZwW9JT.jpg,https://image.tmdb.org/t/p/w500/5YPnuuDYqRTkdmeNUzb52ZwW9JT.jpg,https://image.tmdb.org/t/p/w1280/4RJzq72Q02lihOwaa56ZZXjnMI0.jpg
29-sai-dokushin-chuuken-boukensha-no-nichijou,أنمي,29-sai Dokushin Chuuken Boukensha no Nichijou,29-sai Dokushin Chuuken Boukensha no Nichijou,2026,290667,https://image.tmdb.org/t/p/w500/rnwq4Z17xEV29QiT5Kwy9Sh6R8y.jpg,https://image.tmdb.org/t/p/w500/rnwq4Z17xEV29QiT5Kwy9Sh6R8y.jpg,https://image.tmdb.org/t/p/w1280/oQg6qvYrdTMitw3AD8IyiUDkfRm.jpg
3-gatsu-no-lion,أنمي,3-gatsu no Lion,مارس يحلّ كالأسد,2016,65336,https://image.tmdb.org/t/p/w500/4LTg5dLXnHwbNcFyOTnXvMpSs4q.jpg,https://image.tmdb.org/t/p/w500/4LTg5dLXnHwbNcFyOTnXvMpSs4q.jpg,https://image.tmdb.org/t/p/w1280/mLzJpP9YRexGbvgiqunirAM5HAA.jpg
3-nen-z-gumi-ginpachi-sensei,أنمي,3-nen Z-gumi Ginpachi-sensei,3-nen Z-gumi Ginpachi-sensei,2025,222624,https://image.tmdb.org/t/p/w500/slneGllMqljglPzNVNoiiGPZp2J.jpg,https://image.tmdb.org/t/p/w500/slneGllMqljglPzNVNoiiGPZp2J.jpg,https://image.tmdb.org/t/p/w1280/jv0TWYqsdAbbeTfUA8mtGaqb3OG.jpg
7-bears,أنمي,7 Bears,الدببة السبعة,2025,231728,https://image.tmdb.org/t/p/w500/7cOa8t4yFX55O2DQpFBMpNgTbzY.jpg,https://image.tmdb.org/t/p/w500/7cOa8t4yFX55O2DQpFBMpNgTbzY.jpg,https://image.tmdb.org/t/p/w1280/8aIy81OdhFWCBgu6DBU2T4ReiQE.jpg
86,أنمي,86,86 - ستة وثمانون -,2021,100565,https://image.tmdb.org/t/p/w500/aEG1ZtdyjDFDtlGqovvAHsAfsR6.jpg,https://image.tmdb.org/t/p/w500/aEG1ZtdyjDFDtlGqovvAHsAfsR6.jpg,https://image.tmdb.org/t/p/w1280/lSlL2CAPSDJ9gf2MZX0x2u2inKX.jpg
91-days,أنمي,91 Days,91 يوم,2016,67043,https://image.tmdb.org/t/p/w500/ArJQiKRRLM3v5SoEaPN0qo6NUVp.jpg,https://image.tmdb.org/t/p/w500/ArJQiKRRLM3v5SoEaPN0qo6NUVp.jpg,https://image.tmdb.org/t/p/w1280/iiHQiu3Kg8TFzVCiugQT0SGPEU.jpg
digimon-adventure,أنمي,:Digimon Adventure,ابطال الديجيتال,2020,98034,https://image.tmdb.org/t/p/w500/vYoiupxiXVJBT8Bz0hCBwi1FLdL.jpg,https://image.tmdb.org/t/p/w500/vYoiupxiXVJBT8Bz0hCBwi1FLdL.jpg,https://image.tmdb.org/t/p/w1280/xsEMAdrDprq3Ldre56Rm0zqbfCA.jpg
danjo-no-yuujou-wa-seiritsu-suru,أنمي,?Danjo no Yuujou wa Seiritsu suru,?Danjo no Yuujou wa Seiritsu suru,2025,217407,https://image.tmdb.org/t/p/w500/74Oi8x6kwqgeDgfIgNVQwl9b0FT.jpg,https://image.tmdb.org/t/p/w500/74Oi8x6kwqgeDgfIgNVQwl9b0FT.jpg,https://image.tmdb.org/t/p/w1280/taa2aoX0ZBZiydrmc4p3IBtmJz0.jpg
a-i-c-o-incarnation,أنمي,A.I.C.O. Incarnation,A.I.C.O. Incarnation,2018,77778,https://image.tmdb.org/t/p/w500/1vOPpRqrYwwKf4HV4ybSfb4j3oo.jpg,https://image.tmdb.org/t/p/w500/1vOPpRqrYwwKf4HV4ybSfb4j3oo.jpg,https://image.tmdb.org/t/p/w1280/32WeuBrqcXyTFEMcoWr0qkjf1zT.jpg
absolute-duo,أنمي,Absolute Duo,Absolute Duo,2015,65764,https://image.tmdb.org/t/p/w500/lbtRPdxPYwhzflTQRmQpKrskzJm.jpg,https://image.tmdb.org/t/p/w500/lbtRPdxPYwhzflTQRmQpKrskzJm.jpg,https://image.tmdb.org/t/p/w1280/tREFgCrBo5TIToSUI0CwabhEtVR.jpg
acca-13-ku-kansatsu-ka,أنمي,ACCA: 13-ku Kansatsu-ka,أكّا 13: قسم دائرة التفتيش الثالث عشر,2017,69225,https://image.tmdb.org/t/p/w500/4djZf2wiFkkkTSX3vHHEiq6pMRs.jpg,https://image.tmdb.org/t/p/w500/4djZf2wiFkkkTSX3vHHEiq6pMRs.jpg,https://image.tmdb.org/t/p/w1280/sicm3KhlaSVppqaUx7n7h33LPqk.jpg
acro-trip,أنمي,Acro Trip,Acro Trip,2024,215429,https://image.tmdb.org/t/p/w500/u6D1M4m4IkCmy6Aj5SIVeNfi5d5.jpg,https://image.tmdb.org/t/p/w500/u6D1M4m4IkCmy6Aj5SIVeNfi5d5.jpg,https://image.tmdb.org/t/p/w1280/mjN8Pi1kXJ3IpAiCL4fmsbL1ZG7.jpg
adachi-to-shimamura,أنمي,Adachi to Shimamura,Adachi to Shimamura,2020,94359,https://image.tmdb.org/t/p/w500/tirBanHz2pb9F4Ff5a4y7t3ipmP.jpg,https://image.tmdb.org/t/p/w500/tirBanHz2pb9F4Ff5a4y7t3ipmP.jpg,https://image.tmdb.org/t/p/w1280/rpnfaKpC2nb1AlHOa3Bb46YFEqk.jpg
aharen-san-wa-hakarenai,أنمي,Aharen-san wa Hakarenai,Aharen-san wa Hakarenai,2022,130237,https://image.tmdb.org/t/p/w500/3Pqe5r4THECyIsJ58C4YLFZD6nj.jpg,https://image.tmdb.org/t/p/w500/3Pqe5r4THECyIsJ58C4YLFZD6nj.jpg,https://image.tmdb.org/t/p/w1280/umSMlEN5RIYzlLvSFI2nfme1W02.jpg
ahiru-no-sora,أنمي,Ahiru no Sora,آهيرو نو سورا,2019,92892,https://image.tmdb.org/t/p/w500/emHuXZPwTxqkzNtwOTsmf0CERrX.jpg,https://image.tmdb.org/t/p/w500/emHuXZPwTxqkzNtwOTsmf0CERrX.jpg,https://image.tmdb.org/t/p/w1280/qx2d9ePiF6tXn7YBjFA4NpOXBxf.jpg
aishiteru-game-wo-owarasetai,أنمي,Aishiteru Game wo Owarasetai,Aishiteru Game wo Owarasetai,2026,293697,https://image.tmdb.org/t/p/w500/vNXVxjzHrUFnhZkZlQgvdUmzG4Q.jpg,https://image.tmdb.org/t/p/w500/vNXVxjzHrUFnhZkZlQgvdUmzG4Q.jpg,https://image.tmdb.org/t/p/w1280/rep8uV9N7jSYpxpxH7glSP6qOmp.jpg
ajin,أنمي,Ajin,آجين,2016,65292,https://image.tmdb.org/t/p/w500/uQEVd09ypPxsihePCBZMGCpDxIw.jpg,https://image.tmdb.org/t/p/w500/uQEVd09ypPxsihePCBZMGCpDxIw.jpg,https://image.tmdb.org/t/p/w1280/kOQkt6e18Fe5h9qnkd3PmffX7og.jpg
akagami-no-shirayuki-hime,أنمي,Akagami no Shirayuki-hime,سنو وايت ذات الشعر الأحمر,2015,63087,https://image.tmdb.org/t/p/w500/mTgJMaM36Q1O5DXSYkqAYgIognd.jpg,https://image.tmdb.org/t/p/w500/mTgJMaM36Q1O5DXSYkqAYgIognd.jpg,https://image.tmdb.org/t/p/w1280/m7pLRHLnuM37mLzycgcCz01TvAS.jpg
akame-ga-kill,أنمي,Akame ga Kill!,العين الحمراء القاتلة,2014,61223,https://image.tmdb.org/t/p/w500/hDzm2VXxdeK5kztUN3RWTkBsBZg.jpg,https://image.tmdb.org/t/p/w500/hDzm2VXxdeK5kztUN3RWTkBsBZg.jpg,https://image.tmdb.org/t/p/w1280/3XAGgklKkJhv5M9m5NkfhBYb7l8.jpg
akane-banashi,أنمي,Akane-banashi,Akane-banashi,2026,297438,https://image.tmdb.org/t/p/w500/ix3Jv1p9IOHkssYO5uct86aMJ1q.jpg,https://image.tmdb.org/t/p/w500/ix3Jv1p9IOHkssYO5uct86aMJ1q.jpg,https://image.tmdb.org/t/p/w1280/6QwDoRZ7tiRXeMlsYtNto5sSMUg.jpg
akatsuki-no-yona,أنمي,Akatsuki no Yona,فجر يونا,2014,61461,https://image.tmdb.org/t/p/w500/3fIrpV8f2j5n1Q0ddfMCTeMOzek.jpg,https://image.tmdb.org/t/p/w500/3fIrpV8f2j5n1Q0ddfMCTeMOzek.jpg,https://image.tmdb.org/t/p/w1280/k3KlMWPt8lJ5Pe48xuykeldCnI3.jpg
akebi-chan-no-sailor-fuku,أنمي,Akebi-chan no Sailor-fuku,Akebi-chan no Sailor-fuku,2022,121792,https://image.tmdb.org/t/p/w500/luZhX5AQnk527jAdTnSrmoHErGK.jpg,https://image.tmdb.org/t/p/w500/luZhX5AQnk527jAdTnSrmoHErGK.jpg,https://image.tmdb.org/t/p/w1280/obhXfOEUpdNwZZP3WX4uXkvvBfr.jpg
akudama-drive,أنمي,Akudama Drive,أكوداما درايف,2020,100436,https://image.tmdb.org/t/p/w500/kmMIxsHreiXAWku6KvDK2DrKS5j.jpg,https://image.tmdb.org/t/p/w500/kmMIxsHreiXAWku6KvDK2DrKS5j.jpg,https://image.tmdb.org/t/p/w1280/9guUQdqCWB1P6yK35p6UJ7lhQVw.jpg
