name,type,image_name,page_url
Raakh,series,raakh.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-raakh-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Matka King,series,matka-king.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-matka-king-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Jubilee,series,jubilee.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-jubilee-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Choona,series,choona.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-choona-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Sanxian Lun Hui,series,sanxian-lun-hui.jpg,https://tuk.tuktukarab.cfd/%D8%A7%D9%86%D9%85%D9%8A-sanxian-lun-hui-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1-%D9%85%D8%AA%D8%B1%D8%AC%D9%85%D8%A9/
Guimi Zhi Zhu: Xiaochou Pian,series,guimi-zhi-zhu-xiaochou-pian.jpg,https://tuk.tuktukarab.cfd/%D8%A7%D9%86%D9%85%D9%8A-guimi-zhi-zhu-xiaochou-pian-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1-%D9%85%D8%AA%D8%B1%D8%AC%D9%85%D8%A9/
Hanashura,series,hanashura.jpg,https://tuk.tuktukarab.cfd/%D8%A7%D9%86%D9%85%D9%8A-hanashura-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1-%D9%85%D8%AA%D8%B1%D8%AC%D9%85%D8%A9/
Babanbabanban Vampire,series,babanbabanban-vampire.jpg,https://tuk.tuktukarab.cfd/%D8%A7%D9%86%D9%85%D9%8A-babanbabanban-vampire-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1-%D9%85%D8%AA%D8%B1%D8%AC%D9%85%D8%A9/
Monogatari Series: Off & Monster Season,series,monogatari-series-off-monster-season.jpg,https://tuk.tuktukarab.cfd/%D8%A7%D9%86%D9%85%D9%8A-monogatari-series-off-monster-season-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1-%D9%85%D8%AA%D8%B1%D8%AC%D9%85%D8%A9/
Kidou Senshi Gundam: Fukushuu no Requiem,series,kidou-senshi-gundam-fukushuu-no-requiem.jpg,https://tuk.tuktukarab.cfd/%D8%A7%D9%86%D9%85%D9%8A-kidou-senshi-gundam-fukushuu-no-requiem-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1-%D9%85%D8%AA%D8%B1%D8%AC%D9%85%D8%A9/
Barbie Mysteries: The Great Horse Chase,series,barbie-mysteries-the-great-horse-chase.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-barbie-mysteries-the-great-horse-chase-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Tian Guan Cifu,series,tian-guan-cifu.jpg,https://tuk.tuktukarab.cfd/%D8%A7%D9%88%D9%86%D8%A7-tian-guan-cifu-er-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1-%D9%85%D8%AA%D8%B1%D8%AC%D9%85%D8%A9/
Onmyoji,series,onmyoji.jpg,https://tuk.tuktukarab.cfd/%D8%A7%D9%86%D9%85%D9%8A-onmyoji-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1-%D9%85%D8%AA%D8%B1%D8%AC%D9%85%D8%A9/
The Exorcist Boner,series,the-exorcist-boner.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-the-exorcist-boner-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Yahari ore no seishun rabukome wa machigatteiru,series,yahari-ore-no-seishun-rabukome-wa-machigatteiru.jpg,https://tuk.tuktukarab.cfd/%D8%A7%D9%88%D9%81%D8%A7-yahari-ore-no-seishun-love-comedy-wa-machigatteiru-kan-ova-%D9%85%D8%AA%D8%B1%D8%AC%D9%85%D8%A9/
Pokémon (2019),series,pok-mon-2019.jpg,https://tuk.tuktukarab.cfd/%D8%A7%D9%86%D9%85%D9%8A-pokemon-2019-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9-%D9%85%D8%AA%D8%B1%D8%AC%D9%85%D8%A9/
ذات اخري,series,ذات-اخري.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D8%B0%D8%A7%D8%AA-%D8%A3%D8%AE%D8%B1%D9%89-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%AB%D8%A7%D9%84%D8%AB-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1-%D9%85%D8%AA%D8%B1%D8%AC%D9%85%D8%A9/
